,states
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Kansas
7,Maine
8,Minnesota
9,Mississippi
10,Missouri
11,Montana
12,Nebraska
13,New Hampshire
14,Ohio
15,Oklahoma
16,Utah
17,Vermont
18,Wisconsin
